
==================== AAPL ====================
Day 329: Action: 0, Cash: 109.27, Volume: 9.0, Price: 262.27
Day 330: Action: 0, Cash: 109.27, Volume: 9.0, Price: 257.96
Day 331: Action: 0, Cash: 109.27, Volume: 9.0, Price: 259.09
Day 332: Action: 0, Cash: 109.27, Volume: 9.0, Price: 262.32
Day 333: Action: 0, Cash: 109.27, Volume: 9.0, Price: 268.30
Day 334: Action: 0, Cash: 109.27, Volume: 9.0, Price: 268.49
Day 335: Action: 2, Cash: 109.27, Volume: 9.0, Price: 269.19
Day 336: Action: 1, Cash: 2531.95, Volume: 0.0, Price: 270.88
Day 337: Action: 2, Cash: 94.00, Volume: 9.0, Price: 269.86
Day 338: Action: 0, Cash: 2522.70, Volume: 0.0, Price: 268.54
Day 339: Action: 0, Cash: 2522.70, Volume: 0.0, Price: 269.53
Day 340: Action: 0, Cash: 2522.70, Volume: 0.0, Price: 269.63
Day 341: Action: 0, Cash: 2522.70, Volume: 0.0, Price: 269.26
Day 342: Action: 0, Cash: 2522.70, Volume: 0.0, Price: 267.96
Day 343: Action: 0, Cash: 2522.70, Volume: 0.0, Price: 269.18
Day 344: Action: 1, Cash: 2522.70, Volume: 0.0, Price: 274.99
Day 345: Action: 0, Cash: 47.77, Volume: 9.0, Price: 273.21
Day 346: Action: 0, Cash: 47.77, Volume: 9.0, Price: 272.69
Day 347: Action: 0, Cash: 47.77, Volume: 9.0, Price: 272.16
Day 348: Action: 0, Cash: 47.77, Volume: 9.0, Price: 267.21
Day 349: Action: 0, Cash: 47.77, Volume: 9.0, Price: 267.19
Day 350: Action: 0, Cash: 47.77, Volume: 9.0, Price: 268.31
Day 351: Action: 2, Cash: 47.77, Volume: 9.0, Price: 266.00
Day 352: Action: 1, Cash: 2441.78, Volume: 0.0, Price: 271.24
Day 353: Action: 0, Cash: 0.65, Volume: 9.0, Price: 275.66
Day 354: Action: 0, Cash: 0.65, Volume: 9.0, Price: 276.71
Day 355: Action: 2, Cash: 0.65, Volume: 9.0, Price: 277.29
Day 356: Action: 0, Cash: 2496.27, Volume: 0.0, Price: 278.59
Day 357: Action: 0, Cash: 2496.27, Volume: 0.0, Price: 282.84
Day 358: Action: 0, Cash: 2496.27, Volume: 0.0, Price: 285.92
Day 359: Action: 0, Cash: 2496.27, Volume: 0.0, Price: 283.88
Day 360: Action: 1, Cash: 2496.27, Volume: 0.0, Price: 280.44
Day 361: Action: 0, Cash: 252.77, Volume: 8.0, Price: 278.52
Day 362: Action: 0, Cash: 252.77, Volume: 8.0, Price: 277.63
Day 363: Action: 0, Cash: 252.77, Volume: 8.0, Price: 276.92
Day 364: Action: 0, Cash: 252.77, Volume: 8.0, Price: 278.52
Day 365: Action: 2, Cash: 252.77, Volume: 8.0, Price: 277.77
Day 366: Action: 0, Cash: 2474.93, Volume: 0.0, Price: 278.02
Day 367: Action: 0, Cash: 2474.93, Volume: 0.0, Price: 273.85
Day 368: Action: 0, Cash: 2474.93, Volume: 0.0, Price: 274.35
Day 369: Action: 0, Cash: 2474.93, Volume: 0.0, Price: 271.59
Day 370: Action: 0, Cash: 2474.93, Volume: 0.0, Price: 271.94
Day 371: Action: 0, Cash: 2474.93, Volume: 0.0, Price: 273.41
Day 372: Action: 1, Cash: 2474.93, Volume: 0.0, Price: 270.72
Day 373: Action: 2, Cash: 38.48, Volume: 9.0, Price: 272.11
Day 374: Action: 1, Cash: 2487.43, Volume: 0.0, Price: 273.55
